'tbrword','result','fp','cue','response','cue_type','duration'
'free',0,0,'-',' The first word of the memorized list in Step 1 is "apple."','ordn',10.60
'sleet',0,0,'-',' The second word of the memorized list in Step 1 is "banana."','ordn',57.60
'small',0,0,'-',' The third word of the memorized list in Step 1 is "cherry."','ordn',60.90
'produce',0,0,'-',' The fourth word of the memorized list in Step 1 is "date."','ordn',60.50
'grape',0,0,'-',' The fifth word of the memorized list in Step 1 is "elderberry."','ordn',69.50
'cobweb',0,0,'-',' The sixth word of the memorized list in Step 1 is "fig."','ordn',56.80
'library',0,0,'-',' The seventh word of the memorized list in Step 1 is "grape."','ordn',67.00
'chair',0,0,'-',' The eighth word of the memorized list in Step 1 is "honeydew melon."','ordn',55.00
'walk',0,0,'-',' The ninth word of the memorized list in Step 1 is "ice cream."','ordn',56.20
'cart',0,0,'-',' The tenth word of the memorized list in Step 1 is "kiwi."','ordn',59.70
'stitch',0,0,'-',' The eleventh word of the memorized list in Step 1 is "lemon."','ordn',58.10
'side',0,0,'-',' The twelfth word of the memorized list in Step 1 is "mango."','ordn',58.60
'locket',0,0,'-',' The thirteenth word of the memorized list in Step 1 is "nuts."','ordn',50.80
'move',0,0,'-',' The fourteenth word of the memorized list in Step 1 is "orange."','ordn',54.60
'egg',0,0,'-',' The fifteenth word of the memorized list in Step 1 is "pear."','ordn',59.70
'sneeze',0,0,'-',' The sixteenth word of the memorized list in Step 1 is "quince."','ordn',58.60
'faucet',0,0,'-',' The seventeenth word of the memorized list in Step 1 is "raspberry."','ordn',127.60
'volcano',0,0,'-',' The eighteenth word of the memorized list in Step 1 is "strawberry."','ordn',60.40
'toy',0,0,'-',' The nineteenth word of the memorized list in Step 1 is "tangerine."','ordn',54.70
'mass',0,0,'-',' The twentieth word of the memorized list in Step 1 is "umbrella."','ordn',55.40

