'tbrword','result','fp','cue','response','cue_type','duration'
'free',1,1,'-',' The first word in the list S4ODV78T5G is "free".','ordn',67.40
'sleet',1,1,'-',' The second word in the list S4ODV78T5G is "sleet".','ordn',75.00
'small',1,1,'-',' The third word in the list S4ODV78T5G is "small".','ordn',83.00
'produce',1,1,'-',' The fourth word in the list S4ODV78T5G is "produce".','ordn',89.60
'grape',0,0,'-',' The fifth word in the list S4ODV78T5G is "produce".','ordn',70.80
'cobweb',0,0,'-',' The sixth word in the list S4ODV78T5G is "produce".','ordn',80.70
'library',0,0,'-',' The seventh word in the list S4ODV78T5G is "produce".','ordn',78.20
'chair',0,0,'-',' The eighth word in the list S4ODV78T5G is "stitch".','ordn',78.00
'walk',0,0,'-',' The ninth word in the list S4ODV78T5G is "library".','ordn',73.10
'cart',0,0,'-',' The tenth word in the list S4ODV78T5G is "cover".','ordn',64.10
'stitch',0,0,'-',' The eleventh word in the list S4ODV78T5G is "arm".','ordn',76.50
'side',0,0,'-',' The twelfth word in the list S4ODV78T5G is "stitch".','ordn',95.10
'locket',0,0,'-',' The thirteenth word in the list S4ODV78T5G is "arm".','ordn',76.50
'move',0,0,'-',' The fourteenth word in the list S4ODV78T5G is "arm".','ordn',80.40
'egg',0,0,'-',' The fifteenth word in the list S4ODV78T5G is "arm".','ordn',75.40
'sneeze',0,0,'-',' The sixteenth word in the list S4ODV78T5G is "arm".','ordn',72.20
'faucet',0,0,'-',' The seventeenth word in the list S4ODV78T5G is "arm".','ordn',79.20
'volcano',0,0,'-',' The eighteenth word in the list S4ODV78T5G is "arm".','ordn',75.20
'toy',0,0,'-',' The nineteenth word in the list S4ODV78T5G is "mass".','ordn',63.80
'mass',1,1,'-',' The twentieth word in the list S4ODV78T5G is "mass".','ordn',72.70
