'tbrword','result','fp','cue','response','cue_type','duration'
'None',1,0,'caterpillar',' No"caterpillar" is not in the list S4ODV78T5G.','none',47.80
'library',1,0,'books',' No"books" is not in the list S4ODV78T5G.','ncaw',68.20
'move',1,0,'action',' No"action" is not in the list S4ODV78T5G.','ncaw',67.00
'monkey',1,0,'honky',' No"honky" is not in the list S4ODV78T5G.','ncrw',67.80
'star',1,1,'star',' Yes "star" is in the list S4ODV78T5G.','copy',66.10
'None',1,0,'hedge',' No"hedge" is not in the list S4ODV78T5G.','none',66.60
'day',1,1,'day',' Yes "day" is in the list S4ODV78T5G.','copy',64.10
'copper',1,0,'bronze',' No"bronze" is not in the list S4ODV78T5G.','ncaw',188.80
'free',1,1,'free',' Yes "free" is in the list S4ODV78T5G.','copy',47.70
'mass',1,0,'weight',' No"weight" is not in the list S4ODV78T5G.','ncaw',107.70
'recess',1,0,'express',' No"express" is not in the list S4ODV78T5G.','ncrw',74.60
'cake',1,1,'cake',' Yes "cake" is in the list S4ODV78T5G.','copy',73.70
'walk',1,0,'stroll',' No"stroll" is not in the list S4ODV78T5G.','ncaw',75.30
'ball',1,0,'sphere',' No"sphere" is not in the list S4ODV78T5G.','ncaw',65.20
'None',1,0,'lighthouse',' No"lighthouse" is not in the list S4ODV78T5G.','none',65.70
'None',1,0,'penguin',' No"penguin" is not in the list S4ODV78T5G.','none',68.60
'control',1,1,'control',' Yes "control" is in the list S4ODV78T5G.','copy',47.40
'guitar',1,0,'avatar',' No"avatar" is not in the list S4ODV78T5G.','ncrw',64.20
'stitch',1,0,'switch',' No"switch" is not in the list S4ODV78T5G.','ncrw',63.40
'None',1,0,'abrupt',' No"abrupt" is not in the list S4ODV78T5G.','none',66.30
'None',1,0,'ocean',' No"ocean" is not in the list S4ODV78T5G.','none',76.20
'volcano',1,0,'eruption',' No"eruption" is not in the list S4ODV78T5G.','ncaw',75.80
'sneeze',1,0,'tease',' No"tease" is not in the list S4ODV78T5G.','ncrw',77.30
'cart',1,0,'dart',' No"dart" is not in the list S4ODV78T5G.','ncrw',84.00
'pain',1,1,'pain',' Yes "pain" is in the list S4ODV78T5G.','copy',47.10
'basin',1,1,'basin',' Yes "basin" is in the list S4ODV78T5G.','copy',60.80
'pet',1,1,'pet',' Yes "pet" is in the list S4ODV78T5G.','copy',73.10
'cushion',1,0,'fashion',' No"fashion" is not in the list S4ODV78T5G.','ncrw',64.90
'None',1,0,'giraffe',' No"giraffe" is not in the list S4ODV78T5G.','none',70.40
'net',1,0,'debt',' No"debt" is not in the list S4ODV78T5G.','ncrw',66.60
'egg',1,0,'ovum',' No"ovum" is not in the list S4ODV78T5G.','ncaw',77.10
'None',1,0,'braid',' No"braid" is not in the list S4ODV78T5G.','none',158.80
