,reco_word,reco_true,reca_word,reca_true
free,5.0,0.0,4.0,0.0
sleet,1.0,1.0,2.0,0.0
small,1.0,0.0,2.0,0.0
produce,2.0,2.0,1.0,0.0
grape,1.0,1.0,2.0,0.0
cobweb,2.0,0.0,1.0,0.0
library,2.0,0.0,1.0,0.0
chair,3.0,3.0,4.0,0.0
walk,1.0,1.0,1.0,0.0
cart,3.0,1.0,4.0,0.0
stitch,2.0,1.0,2.0,0.0
side,0.0,0.0,1.0,0.0
locket,1.0,1.0,1.0,0.0
move,2.0,2.0,3.0,0.0
egg,1.0,0.0,2.0,0.0
sneeze,4.0,2.0,4.0,0.0
faucet,3.0,1.0,4.0,0.0
volcano,3.0,2.0,2.0,0.0
toy,2.0,1.0,2.0,0.0
mass,1.0,0.0,1.0,0.0
recess,1.0,1.0,1.0,0.0
bead,3.0,1.0,2.0,0.0
ant,2.0,0.0,2.0,0.0
cover,1.0,1.0,1.0,0.0
hen,2.0,1.0,2.0,0.0
hat,1.0,1.0,3.0,0.0
pet,3.0,1.0,3.0,0.0
map,1.0,0.0,1.0,0.0
control,2.0,0.0,3.0,0.0
pain,1.0,0.0,1.0,0.0
cushion,0.0,0.0,1.0,0.0
monkey,4.0,1.0,3.0,0.0
vegetable,3.0,3.0,2.0,0.0
day,4.0,2.0,3.0,0.0
curtain,2.0,0.0,0.0,0.0
kitten,3.0,1.0,1.0,0.0
copper,3.0,1.0,2.0,0.0
basin,2.0,1.0,2.0,0.0
ball,0.0,0.0,0.0,0.0
net,3.0,2.0,2.0,0.0
card,2.0,1.0,3.0,0.0
cake,4.0,3.0,3.0,0.0
stop,0.0,0.0,0.0,0.0
guitar,4.0,2.0,4.0,0.0
value,1.0,0.0,2.0,0.0
star,2.0,1.0,3.0,0.0
list,0.0,0.0,0.0,0.0
arm,2.0,1.0,2.0,0.0
