,reco_word,reco_true,reca_word,reca_true
free,0.0,0.0,2.0,2.0
sleet,4.0,0.0,4.0,3.0
small,3.0,0.0,2.0,0.0
produce,3.0,0.0,4.0,2.0
grape,5.0,0.0,4.0,1.0
cobweb,4.0,0.0,3.0,1.0
library,4.0,0.0,4.0,1.0
chair,0.0,0.0,0.0,0.0
walk,6.0,0.0,5.0,4.0
cart,6.0,0.0,4.0,0.0
stitch,6.0,0.0,4.0,1.0
side,5.0,0.0,5.0,0.0
locket,5.0,0.0,6.0,1.0
move,3.0,0.0,1.0,0.0
egg,6.0,0.0,4.0,2.0
sneeze,4.0,0.0,4.0,2.0
faucet,3.0,0.0,3.0,1.0
volcano,3.0,0.0,3.0,3.0
toy,3.0,0.0,5.0,4.0
mass,3.0,0.0,3.0,1.0
recess,4.0,0.0,5.0,0.0
bead,2.0,0.0,2.0,1.0
ant,3.0,0.0,3.0,0.0
cover,5.0,0.0,4.0,3.0
hen,6.0,0.0,4.0,2.0
hat,9.0,0.0,7.0,0.0
pet,6.0,0.0,6.0,3.0
map,4.0,0.0,4.0,0.0
control,3.0,0.0,3.0,1.0
pain,4.0,0.0,5.0,2.0
cushion,8.0,0.0,6.0,0.0
monkey,3.0,0.0,4.0,0.0
vegetable,1.0,0.0,1.0,0.0
day,1.0,0.0,2.0,0.0
curtain,4.0,0.0,5.0,1.0
kitten,3.0,0.0,4.0,3.0
copper,5.0,0.0,5.0,2.0
basin,3.0,0.0,3.0,2.0
ball,5.0,0.0,5.0,1.0
net,4.0,0.0,4.0,2.0
card,3.0,0.0,1.0,0.0
cake,4.0,0.0,5.0,1.0
stop,6.0,0.0,6.0,0.0
guitar,4.0,0.0,5.0,1.0
value,8.0,0.0,8.0,6.0
star,2.0,0.0,2.0,1.0
list,3.0,0.0,4.0,0.0
arm,3.0,0.0,3.0,1.0
