target,acue,aduration,rcue,rduration,altacue,altrcue
"nostalgic","sentimental",56.2998466193676,"panic",68.4000551700592,"homesick","trick"
"price","cost",61.099883168935776,"ice",73.8000962883234,"value","nice"
"greet","hello",67.60004907846451,"meat",71.6999638825655,"salutation","sleet"
"whip","flog",69.29994560778141,"tip",66.60004146397114,"cream","ship"
"helpless","powerless",57.19996988773346,"hopeless",201.19990222156048,"clueless","mess"
"scientific","research",65.4000323265791,"prolific",62.499893829226494,"academic","click"
"visit","tour",68.70017386972904,"transmit",71.60007953643799,"call","grit"
"apparel","clothing",69.2000612616539,"tunnel",100.30018165707588,"blouse","aquarel"
"jewel","gem",66.59980863332748,"newel",73.30020889639854,"diamond","cruel"
"superb","excellent",141.60014688968658,"herb",69.80006583034992,"brillant","curb"
"hour","minute",67.60004907846451,"sour",70.29995322227478,"twenty-four","flour"
"sheep","pasture",97.50016033649445,"deep",68.60005669295788,"wool","jeep"
"annoying","irritating",14901.300193741918,"boying",58.099860325455666,"unnerving","toying"
"tacit","knowledge",56.10007792711258,"facet",59.59998816251755,"implicit","explicit"
"lewd","obscene",56.900084018707275,"crude",65.50014950335026,"vulgar","shrewd"
"guard","protect",81.59992285072803,"bard",70.69995626807213,"soldier","shard"
